company_id,type,rule_id,text,confidence_pct
ABB,pro,pro_1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,77.4
ABB,pro,pro_7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,90.0
ABB,pro,pro_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,90.0
ABB,con,con_fallback,Debt-to-equity ratio of 0.02 is a factor worth monitoring given the company's capital structure,61.0
ADANIENSOL,pro,pro_4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,65.7
ADANIENSOL,pro,pro_5,Operating profit margin above 25% indicates strong pricing power and cost discipline,71.3
ADANIENSOL,con,con_1,Debt-to-equity ratio of 2.93 is elevated for a non-financial company and warrants monitoring,74.0
ADANIENSOL,con,con_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,66.3
ADANIENSOL,con,con_11,Gross debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,79.5
ADANIENT,pro,pro_4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,68.0
ADANIENT,pro,pro_6,Net profit compounding at above 20% over 5 years creates significant shareholder value,90.0
ADANIENT,pro,pro_9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,90.0
ADANIENT,pro,pro_10,Return on equity improving for 3 consecutive years shows strengthening business quality,95.0
ADANIENT,pro,pro_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,90.0
ADANIENT,con,con_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,66.0
ADANIENT,con,con_11,Gross debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,75.3
ADANIGREEN,pro,pro_4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,90.0
ADANIGREEN,pro,pro_5,Operating profit margin above 25% indicates strong pricing power and cost discipline,90.0
ADANIGREEN,con,con_1,Debt-to-equity ratio of 6.60 is elevated for a non-financial company and warrants monitoring,90.0
ADANIGREEN,con,con_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,68.3
ADANIGREEN,con,con_11,Gross debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,90.0
ADANIPORTS,pro,pro_4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,62.6
ADANIPORTS,pro,pro_5,Operating profit margin above 25% indicates strong pricing power and cost discipline,90.0
ADANIPORTS,con,con_fallback,Debt-to-equity ratio of 0.94 is a factor worth monitoring given the company's capital structure,61.0
ADANIPOWER,pro,pro_1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,85.4
